video_id,datetime,title
dIpttD7b8B4,2024-09-12T14:00:39Z,Why Do Puddles Disappear but Lakes Don’t? #shorts
vSSkDos2hzo,2024-09-12T14:01:11Z,We Need to Rethink Exercise (Updated Version)
_kelDJFjhOo,2024-09-05T14:00:37Z,The Perfect Sofa – According to Science #shorts
49ApsH6lzk0,2024-08-29T14:00:05Z,This Happens When You Get a Tattoo #shorts
dBxxi5XAm3U,2024-08-27T14:00:00Z,We Traveled Back in Time. Now Physicists Are Angry.
W-x9d-nhal4,2024-08-22T14:00:28Z,Fentanyl Explained #shorts
cRZOUcpiOxY,2024-08-13T14:00:01Z,"Fever Feels Horrible, but is Actually Awesome!"
fa8k8IQ1_X0,2024-08-06T14:00:09Z,A.I. ‐ Humanity&#39;s Final Invention?
hX_acKX1G2Y,2024-08-01T14:00:40Z,The Sun is NOT Yellow! #shorts
xswF0mRay_8,2024-07-25T14:00:54Z,Can Our Universe Destroy Itself? #shorts
92Y7SCDgCLg,2024-07-11T14:00:13Z,Can We Stop the Extinction? #shorts
n2sn4kkkGQM,2024-07-04T14:00:42Z,The Deadly Power of a Coin-Sized Black Hole #shorts
GFLb5h2O2Ww,2024-06-25T14:00:01Z,This Disease is Deadlier Than The Plague
_z7DkeP5WNg,2024-06-20T14:00:29Z,Our Brains Are Not Special. But Why Are We? #shorts
fcIWyctZVTM,2024-06-13T13:00:47Z,We Are Making a VIDEO GAME #shorts
UebSfjmQNvs,2024-06-11T14:00:01Z,Do You Have a Free Will?
3DFE8gZe9bA,2024-06-09T20:08:11Z,We Are Making a VIDEO GAME
J8imlz6Lki8,2024-06-06T14:00:19Z,Something Travels Faster than Light #shorts
BLW4hCFwSXE,2024-05-30T14:00:07Z,How Old Can You Get? #shorts
itBBsQRv0EU,2024-05-28T14:00:01Z,Your Hidden Superpower
71eUes30gwc,2024-05-21T14:00:02Z,This Black Hole Could be Bigger Than The Universe
i8wAjC69ZuY,2024-05-16T14:00:29Z,Why Is the Night Sky Black? #shorts
_rBPwu2uS-w,2024-05-07T14:00:02Z,Smoking is Awesome
W6-BGkuA2Gc,2024-05-02T14:00:15Z,Why You Need a Space Elevator And How You Can Build One #shorts
OvKr6loCciE,2024-04-30T14:00:02Z,What Makes Kurzgesagt So Special?
